to_node	 from_node	 capacity	 prob_failure
30	 9	 1.0	 0.0
30	 10	 1.0	 0.0
30	 34	 1.0	 0.0
30	 31	 1.0	 0.0
30	 40	 1.0	 0.0
31	 30	 1.0	 0.0
32	 16	 1.0	 0.0
32	 49	 1.0	 0.0
33	 35	 1.0	 0.0
33	 38	 1.0	 0.0
34	 29	 1.0	 0.0
34	 30	 1.0	 0.0
34	 61	 1.0	 0.0
34	 63	 1.0	 0.0
34	 56	 1.0	 0.0
35	 33	 1.0	 0.0
35	 67	 1.0	 0.0
35	 48	 1.0	 0.0
36	 67	 1.0	 0.0
36	 37	 1.0	 0.0
37	 36	 1.0	 0.0
37	 38	 1.0	 0.0
37	 40	 1.0	 0.0
38	 33	 1.0	 0.0
38	 37	 1.0	 0.0
38	 68	 1.0	 0.0
38	 39	 1.0	 0.0
38	 40	 1.0	 0.0
38	 64	 1.0	 0.0
39	 38	 1.0	 0.0
40	 10	 1.0	 0.0
40	 30	 1.0	 0.0
40	 37	 1.0	 0.0
40	 38	 1.0	 0.0
41	 18	 1.0	 0.0
41	 44	 1.0	 0.0
41	 62	 1.0	 0.0
42	 1	 1.0	 0.0
42	 4	 1.0	 0.0
42	 18	 1.0	 0.0
42	 24	 1.0	 0.0
43	 18	 1.0	 0.0
43	 67	 1.0	 0.0
43	 45	 1.0	 0.0
43	 46	 1.0	 0.0
44	 41	 1.0	 0.0
44	 46	 1.0	 0.0
45	 43	 1.0	 0.0
45	 47	 1.0	 0.0
46	 43	 1.0	 0.0
46	 44	 1.0	 0.0
47	 45	 1.0	 0.0
47	 69	 1.0	 0.0
48	 35	 1.0	 0.0
48	 52	 1.0	 0.0
49	 14	 1.0	 0.0
49	 32	 1.0	 0.0
50	 1	 1.0	 0.0
50	 19	 1.0	 0.0
50	 21	 1.0	 0.0
50	 23	 1.0	 0.0
50	 51	 1.0	 0.0
51	 6	 1.0	 0.0
51	 50	 1.0	 0.0
52	 48	 1.0	 0.0
52	 68	 1.0	 0.0
53	 7	 1.0	 0.0
54	 58	 1.0	 0.0
55	 12	 1.0	 0.0
56	 34	 1.0	 0.0
57	 2	 1.0	 0.0
57	 12	 1.0	 0.0
57	 58	 1.0	 0.0
58	 54	 1.0	 0.0
58	 57	 1.0	 0.0
58	 60	 1.0	 0.0
59	 1	 1.0	 0.0
59	 60	 1.0	 0.0
60	 58	 1.0	 0.0
60	 59	 1.0	 0.0
61	 34	 1.0	 0.0
62	 41	 1.0	 0.0
63	 34	 1.0	 0.0
64	 38	 1.0	 0.0
65	 73	 1.0	 0.0
65	 66	 1.0	 0.0
66	 3	 1.0	 0.0
66	 65	 1.0	 0.0
67	 4	 1.0	 0.0
67	 18	 1.0	 0.0
67	 27	 1.0	 0.0
67	 35	 1.0	 0.0
67	 36	 1.0	 0.0
67	 43	 1.0	 0.0
67	 69	 1.0	 0.0
67	 68	 1.0	 0.0
68	 2	 1.0	 0.0
68	 9	 1.0	 0.0
68	 38	 1.0	 0.0
68	 52	 1.0	 0.0
68	 67	 1.0	 0.0
68	 69	 1.0	 0.0
69	 47	 1.0	 0.0
69	 67	 1.0	 0.0
69	 68	 1.0	 0.0
69	 70	 1.0	 0.0
70	 69	 1.0	 0.0
70	 71	 1.0	 0.0
71	 70	 1.0	 0.0
71	 72	 1.0	 0.0
72	 71	 1.0	 0.0
72	 73	 1.0	 0.0
73	 65	 1.0	 0.0
73	 72	 1.0	 0.0
73	 74	 1.0	 0.0
74	 1	 1.0	 0.0
74	 73	 1.0	 0.0
